Time,Amplitude
0.286,1.16097581717091e-12
0.287,2.46249614633359e-12
0.288,3.76401647549627e-12
0.289,5.06553680465895e-12
0.29,6.36705713382162e-12
0.291,3.92619848800874e-13
0.292,-5.58181743621988e-12
0.293,-4.2802971070572e-12
0.294,-2.97877677789452e-12
0.295,-1.67725644873184e-12
0.296,-7.65169373375259e-12
0.297,-6.35017340458992e-12
0.298,-5.04865307542724e-12
0.299,-3.74713274626456e-12
0.3,-2.44561241710188e-12
0.301,-1.14409208793921e-12
0.302,-7.11852937295996e-12
0.303,-5.81700904379728e-12
0.304,-4.5154887146346e-12
0.305,-3.21396838547193e-12
0.306,-1.91244805630925e-12
0.307,-6.10927727146571e-13
0.308,-6.58536501216732e-12
0.309,-5.28384468300464e-12
0.31,-3.98232435384197e-12
0.311,-2.68080402467929e-12
0.312,-1.37928369551661e-12
0.313,-7.7763366353935e-14
0.314,1.22375696280874e-12
0.315,-4.75068032221201e-12
0.316,-3.44915999304933e-12
0.317,-2.14763966388665e-12
0.318,-8.46119334723976e-13
0.319,4.55400994438701e-13
0.32,1.75692132360138e-12
0.321,-4.21751596141937e-12
0.322,-2.91599563225669e-12
0.323,-1.61447530309402e-12
0.324,-3.12954973931339e-13
0.325,-6.28739225895209e-12
0.326,-1.22618295439728e-11
0.327,-1.09603092148102e-11
0.328,-9.65878888564748e-12
0.329,-8.35726855648481e-12
0.33,-7.05574822732213e-12
0.331,-5.75422789815945e-12
0.332,-1.17286651831802e-11
0.333,-1.04271448540175e-11
0.334,-9.12562452485485e-12
0.335,-7.82410419569217e-12
0.336,-6.52258386652949e-12
0.337,-5.22106353736682e-12
0.338,-1.11955008223876e-11
0.339,-9.89398049322489e-12
0.34,-8.59246016406221e-12
0.341,-7.29093983489953e-12
0.342,-5.98941950573686e-12
0.343,-4.68789917657418e-12
0.344,-3.3863788474115e-12
0.345,-9.36081613243225e-12
0.346,-8.05929580326957e-12
0.347,-6.7577754741069e-12
0.348,-5.45625514494422e-12
0.349,-4.15473481578154e-12
0.35,-2.85321448661887e-12
0.351,-8.82765177163962e-12
0.352,-7.52613144247694e-12
